station_id,code,name,station_type,missing_variable_code,missing_source_code
725b507f-fa16-4e9f-83b0-4562c02f18ed,51,Ain El Ouali,Station hydrologique,flow_m3s,SIM
725b507f-fa16-4e9f-83b0-4562c02f18ed,51,Ain El Ouali,Station hydrologique,precip_mm,ECMWF
9135a11d-7405-484d-abe4-9d505f73c75f,50,Ain Sebou,Station hydrologique,flow_m3s,SIM
9135a11d-7405-484d-abe4-9d505f73c75f,50,Ain Sebou,Station hydrologique,precip_mm,ECMWF
53c3afb0-fbf5-45c7-8307-57f195359293,2,Ait Khabbach,Station hydrologique,flow_m3s,SIM
3a47613d-4093-4b15-be03-c507df06553a,4,Azibe Soltane,Station hydrologique,flow_m3s,SIM
a53ae6d0-c5a0-4770-b81c-494bc38817b0,52,Azzaba,Station hydrologique,flow_m3s,SIM
a53ae6d0-c5a0-4770-b81c-494bc38817b0,52,Azzaba,Station hydrologique,precip_mm,ECMWF
97820f63-1c62-421d-94b5-dab234dc7f2a,5,Bab Chhoub,Station hydrologique,flow_m3s,SIM
314c4ef6-4f61-468e-a3d2-7e4edf5b5c0e,6,Bab Merzouka,Station hydrologique,flow_m3s,SIM
e3fd8ec9-b489-40eb-a41e-81dab24847f0,7,Bab Ouender,Station hydrologique,flow_m3s,SIM
bea097c7-e3d2-43dc-abd2-7fd8116e83a3,8,Bab Taza,Poste Pluviométrique,precip_mm,ECMWF
b74ddcc4-cd6c-447c-bfc9-5f6a9e9923bb,9,Belksiri,Station hydrologique,flow_m3s,SIM
b74ddcc4-cd6c-447c-bfc9-5f6a9e9923bb,9,Belksiri,Station hydrologique,precip_mm,ECMWF
05b69e8f-d0a1-4dfa-b1b3-933e3ccb714a,10,Bge Al Wahda,Barrage,flow_m3s,OBS
05b69e8f-d0a1-4dfa-b1b3-933e3ccb714a,10,Bge Al Wahda,Barrage,precip_mm,ECMWF
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,flow_m3s,OBS
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,flow_m3s,SIM
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,inflow_m3s,SIM
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,lacher_m3s,SIM
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,volume_hm3,OBS
d76c48a5-4c05-44ae-a9fb-68d2a00828b9,3,Bge Allal Al Fassi,Barrage,volume_hm3,SIM
a116487f-9815-495e-945a-d5a2af20a102,11,Bge Asfallou,Barrage,flow_m3s,OBS
a116487f-9815-495e-945a-d5a2af20a102,11,Bge Asfallou,Barrage,flow_m3s,SIM
a116487f-9815-495e-945a-d5a2af20a102,11,Bge Asfallou,Barrage,inflow_m3s,SIM
a116487f-9815-495e-945a-d5a2af20a102,11,Bge Asfallou,Barrage,lacher_m3s,SIM
a116487f-9815-495e-945a-d5a2af20a102,11,Bge Asfallou,Barrage,precip_mm,ECMWF
a116487f-9815-495e-945a-d5a2af20a102,11,Bge Asfallou,Barrage,volume_hm3,SIM
a13e366f-5b3f-47a7-ad07-12e2bcde364f,12,Bge Bab Louta,Barrage,flow_m3s,OBS
a13e366f-5b3f-47a7-ad07-12e2bcde364f,12,Bge Bab Louta,Barrage,flow_m3s,SIM
a13e366f-5b3f-47a7-ad07-12e2bcde364f,12,Bge Bab Louta,Barrage,inflow_m3s,SIM
a13e366f-5b3f-47a7-ad07-12e2bcde364f,12,Bge Bab Louta,Barrage,lacher_m3s,SIM
a13e366f-5b3f-47a7-ad07-12e2bcde364f,12,Bge Bab Louta,Barrage,precip_mm,ECMWF
a13e366f-5b3f-47a7-ad07-12e2bcde364f,12,Bge Bab Louta,Barrage,volume_hm3,SIM
3b66e39c-331b-4db1-aad2-8f4aa2df1575,13,Bge Bouhouda,Barrage,flow_m3s,OBS
3b66e39c-331b-4db1-aad2-8f4aa2df1575,13,Bge Bouhouda,Barrage,flow_m3s,SIM
3b66e39c-331b-4db1-aad2-8f4aa2df1575,13,Bge Bouhouda,Barrage,inflow_m3s,SIM
3b66e39c-331b-4db1-aad2-8f4aa2df1575,13,Bge Bouhouda,Barrage,lacher_m3s,SIM
3b66e39c-331b-4db1-aad2-8f4aa2df1575,13,Bge Bouhouda,Barrage,precip_mm,ECMWF
3b66e39c-331b-4db1-aad2-8f4aa2df1575,13,Bge Bouhouda,Barrage,volume_hm3,SIM
d8806731-95fe-48c7-b268-d2d79390c202,14,Bge Garde de Sebou,Barrage,flow_m3s,SIM
d8806731-95fe-48c7-b268-d2d79390c202,14,Bge Garde de Sebou,Barrage,inflow_m3s,SIM
d8806731-95fe-48c7-b268-d2d79390c202,14,Bge Garde de Sebou,Barrage,lacher_m3s,SIM
d8806731-95fe-48c7-b268-d2d79390c202,14,Bge Garde de Sebou,Barrage,precip_mm,ECMWF
d8806731-95fe-48c7-b268-d2d79390c202,14,Bge Garde de Sebou,Barrage,volume_hm3,SIM
673eca14-7bef-43d9-802a-ad5975024602,15,Bge Idriss 1er,Barrage,flow_m3s,OBS
673eca14-7bef-43d9-802a-ad5975024602,15,Bge Idriss 1er,Barrage,flow_m3s,SIM
673eca14-7bef-43d9-802a-ad5975024602,15,Bge Idriss 1er,Barrage,inflow_m3s,SIM
673eca14-7bef-43d9-802a-ad5975024602,15,Bge Idriss 1er,Barrage,lacher_m3s,SIM
673eca14-7bef-43d9-802a-ad5975024602,15,Bge Idriss 1er,Barrage,precip_mm,ECMWF
673eca14-7bef-43d9-802a-ad5975024602,15,Bge Idriss 1er,Barrage,volume_hm3,SIM
2af8d8fb-766f-472f-b941-2541d0e77645,16,Bge Kansera,Barrage,flow_m3s,OBS
2af8d8fb-766f-472f-b941-2541d0e77645,16,Bge Kansera,Barrage,flow_m3s,SIM
2af8d8fb-766f-472f-b941-2541d0e77645,16,Bge Kansera,Barrage,inflow_m3s,SIM
2af8d8fb-766f-472f-b941-2541d0e77645,16,Bge Kansera,Barrage,lacher_m3s,SIM
2af8d8fb-766f-472f-b941-2541d0e77645,16,Bge Kansera,Barrage,precip_mm,ECMWF
2af8d8fb-766f-472f-b941-2541d0e77645,16,Bge Kansera,Barrage,volume_hm3,SIM
ea84d0c6-5711-4e6e-88d5-2ef15b7f601c,55,BGE Michlifen,Barrage,flow_m3s,OBS
ea84d0c6-5711-4e6e-88d5-2ef15b7f601c,55,BGE Michlifen,Barrage,flow_m3s,SIM
ea84d0c6-5711-4e6e-88d5-2ef15b7f601c,55,BGE Michlifen,Barrage,inflow_m3s,SIM
ea84d0c6-5711-4e6e-88d5-2ef15b7f601c,55,BGE Michlifen,Barrage,lacher_m3s,SIM
ea84d0c6-5711-4e6e-88d5-2ef15b7f601c,55,BGE Michlifen,Barrage,precip_mm,ECMWF
ea84d0c6-5711-4e6e-88d5-2ef15b7f601c,55,BGE Michlifen,Barrage,volume_hm3,OBS
ea84d0c6-5711-4e6e-88d5-2ef15b7f601c,55,BGE Michlifen,Barrage,volume_hm3,SIM
f4e10b72-0c07-4182-9c95-8ee66cd65e5d,38,Bge Ouljet Soltane,Barrage,flow_m3s,OBS
f4e10b72-0c07-4182-9c95-8ee66cd65e5d,38,Bge Ouljet Soltane,Barrage,flow_m3s,SIM
f4e10b72-0c07-4182-9c95-8ee66cd65e5d,38,Bge Ouljet Soltane,Barrage,inflow_m3s,SIM
f4e10b72-0c07-4182-9c95-8ee66cd65e5d,38,Bge Ouljet Soltane,Barrage,lacher_m3s,SIM
f4e10b72-0c07-4182-9c95-8ee66cd65e5d,38,Bge Ouljet Soltane,Barrage,precip_mm,ECMWF
f4e10b72-0c07-4182-9c95-8ee66cd65e5d,38,Bge Ouljet Soltane,Barrage,volume_hm3,SIM
6afec03b-124d-4d79-972d-91d85558254b,17,Bge Sahla,Barrage,flow_m3s,OBS
6afec03b-124d-4d79-972d-91d85558254b,17,Bge Sahla,Barrage,flow_m3s,SIM
6afec03b-124d-4d79-972d-91d85558254b,17,Bge Sahla,Barrage,inflow_m3s,SIM
6afec03b-124d-4d79-972d-91d85558254b,17,Bge Sahla,Barrage,lacher_m3s,SIM
6afec03b-124d-4d79-972d-91d85558254b,17,Bge Sahla,Barrage,precip_mm,ECMWF
6afec03b-124d-4d79-972d-91d85558254b,17,Bge Sahla,Barrage,volume_hm3,SIM
2f6ebe9f-e99a-400c-a020-8c2cded6d8a1,18,Bge Sidi Chahed,Barrage,flow_m3s,OBS
2f6ebe9f-e99a-400c-a020-8c2cded6d8a1,18,Bge Sidi Chahed,Barrage,flow_m3s,SIM
2f6ebe9f-e99a-400c-a020-8c2cded6d8a1,18,Bge Sidi Chahed,Barrage,inflow_m3s,SIM
2f6ebe9f-e99a-400c-a020-8c2cded6d8a1,18,Bge Sidi Chahed,Barrage,lacher_m3s,SIM
2f6ebe9f-e99a-400c-a020-8c2cded6d8a1,18,Bge Sidi Chahed,Barrage,precip_mm,ECMWF
2f6ebe9f-e99a-400c-a020-8c2cded6d8a1,18,Bge Sidi Chahed,Barrage,volume_hm3,SIM
b733a005-e048-40db-be0d-1c3c31f3799c,19,Bni Haitem,Station hydrologique,flow_m3s,SIM
b733a005-e048-40db-be0d-1c3c31f3799c,19,Bni Haitem,Station hydrologique,precip_mm,ECMWF
3907b326-38b6-402d-a29d-0277f8a1b012,20,Boufellou,Station hydrologique,flow_m3s,SIM
3907b326-38b6-402d-a29d-0277f8a1b012,20,Boufellou,Station hydrologique,precip_mm,ECMWF
2d5bb3a7-63cf-4d33-a081-89f1ceb9127b,21,Boured,Station hydrologique,flow_m3s,SIM
2d5bb3a7-63cf-4d33-a081-89f1ceb9127b,21,Boured,Station hydrologique,precip_mm,ECMWF
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,flow_m3s,OBS
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,flow_m3s,SIM
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,inflow_m3s,SIM
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,lacher_m3s,SIM
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,precip_mm,ECMWF
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,precip_mm,OBS
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,volume_hm3,OBS
7ef56ec6-8898-4afe-9dca-806ca1e217b0,60,BRG AIT MOULAY AHMED,Barrage,volume_hm3,SIM
be2624ff-7da2-4c63-88be-ce7b21cb0208,58,BRG ETTINE,Barrage,flow_m3s,OBS
be2624ff-7da2-4c63-88be-ce7b21cb0208,58,BRG ETTINE,Barrage,flow_m3s,SIM
be2624ff-7da2-4c63-88be-ce7b21cb0208,58,BRG ETTINE,Barrage,inflow_m3s,SIM
be2624ff-7da2-4c63-88be-ce7b21cb0208,58,BRG ETTINE,Barrage,lacher_m3s,SIM
be2624ff-7da2-4c63-88be-ce7b21cb0208,58,BRG ETTINE,Barrage,precip_mm,ECMWF
be2624ff-7da2-4c63-88be-ce7b21cb0208,58,BRG ETTINE,Barrage,volume_hm3,SIM
82c117ea-4186-452c-89f4-a74034238bf3,61,BRG MAKRACH,Barrage,flow_m3s,OBS
82c117ea-4186-452c-89f4-a74034238bf3,61,BRG MAKRACH,Barrage,flow_m3s,SIM
82c117ea-4186-452c-89f4-a74034238bf3,61,BRG MAKRACH,Barrage,inflow_m3s,SIM
82c117ea-4186-452c-89f4-a74034238bf3,61,BRG MAKRACH,Barrage,lacher_m3s,SIM
82c117ea-4186-452c-89f4-a74034238bf3,61,BRG MAKRACH,Barrage,precip_mm,ECMWF
82c117ea-4186-452c-89f4-a74034238bf3,61,BRG MAKRACH,Barrage,volume_hm3,SIM
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,flow_m3s,OBS
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,flow_m3s,SIM
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,inflow_m3s,SIM
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,lacher_m3s,SIM
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,precip_mm,ECMWF
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,volume_hm3,OBS
e194bacc-23ab-481d-bad1-2c7e5ea9072c,59,BRG SEHB ELMARGA,Barrage,volume_hm3,SIM
7bc1d9da-da25-4407-892f-ed8cfe7eeb25,49,Dar El Arsa,Station hydrologique,flow_m3s,SIM
7bc1d9da-da25-4407-892f-ed8cfe7eeb25,49,Dar El Arsa,Station hydrologique,precip_mm,ECMWF
bf80fe7c-6a10-4c39-b027-28aa2ce5d0a3,22,Dar El Hamra,Station hydrologique,flow_m3s,SIM
bf80fe7c-6a10-4c39-b027-28aa2ce5d0a3,22,Dar El Hamra,Station hydrologique,precip_mm,ECMWF
cd5473c5-ffe4-493f-8d05-a76ff3aba0fa,23,Dar Salem,Station hydrologique,flow_m3s,SIM
cd5473c5-ffe4-493f-8d05-a76ff3aba0fa,23,Dar Salem,Station hydrologique,precip_mm,ECMWF
73a59639-83f1-4858-a156-ed7437988770,24,El Hammam,Station hydrologique,flow_m3s,SIM
73a59639-83f1-4858-a156-ed7437988770,24,El Hammam,Station hydrologique,precip_mm,ECMWF
dc8702ed-b4f6-4c12-9963-5887891f739d,25,El Malha,Station hydrologique,flow_m3s,SIM
dc8702ed-b4f6-4c12-9963-5887891f739d,25,El Malha,Station hydrologique,precip_mm,ECMWF
67dd82e5-5d99-4ba8-a668-241ca7db0f99,26,El Mers,Station hydrologique,flow_m3s,SIM
67dd82e5-5d99-4ba8-a668-241ca7db0f99,26,El Mers,Station hydrologique,precip_mm,ECMWF
827cb524-d155-45cd-94fe-19c43068b5ec,27,Fes(ABHS),Poste Pluviométrique,precip_mm,ECMWF
92eee75d-8edc-4809-8fb4-d7952dbbb396,28,Galaz,Station hydrologique,flow_m3s,SIM
92eee75d-8edc-4809-8fb4-d7952dbbb396,28,Galaz,Station hydrologique,precip_mm,ECMWF
2863f5e1-c7db-4d93-b92b-b2d5abcb566f,29,Had Kourt,Station hydrologique,flow_m3s,SIM
2863f5e1-c7db-4d93-b92b-b2d5abcb566f,29,Had Kourt,Station hydrologique,precip_mm,ECMWF
c9868413-5bbd-4d83-9bdd-79bb738f746f,30,Hajria,Station hydrologique,flow_m3s,SIM
c9868413-5bbd-4d83-9bdd-79bb738f746f,30,Hajria,Station hydrologique,precip_mm,ECMWF
bb71e0a9-7f57-476b-9338-00d5ddc86767,31,Jbel Outka,Poste Pluviométrique,precip_mm,ECMWF
f099ea17-8a81-4bee-ac99-da8e33d6ee96,32,Jorf El Malha,Station hydrologique,flow_m3s,SIM
f099ea17-8a81-4bee-ac99-da8e33d6ee96,32,Jorf El Malha,Station hydrologique,precip_mm,ECMWF
1577cd6e-a3c9-417b-8e80-23963f1b67fa,41,Kharrouba,Station hydrologique,flow_m3s,SIM
1577cd6e-a3c9-417b-8e80-23963f1b67fa,41,Kharrouba,Station hydrologique,precip_mm,ECMWF
dbc64b6b-c431-4906-908f-b9f2deb749b0,33,Khenichet,Station hydrologique,flow_m3s,OBS
dbc64b6b-c431-4906-908f-b9f2deb749b0,33,Khenichet,Station hydrologique,flow_m3s,SIM
dbc64b6b-c431-4906-908f-b9f2deb749b0,33,Khenichet,Station hydrologique,precip_mm,ECMWF
dbc64b6b-c431-4906-908f-b9f2deb749b0,33,Khenichet,Station hydrologique,precip_mm,OBS
f7ee85e4-9784-4973-83a0-1a0fd9511ae4,34,Lalla Mimouna,Station hydrologique,flow_m3s,SIM
f7ee85e4-9784-4973-83a0-1a0fd9511ae4,34,Lalla Mimouna,Station hydrologique,precip_mm,ECMWF
f6dcb133-431d-426f-a77c-c63accf80da9,35,My Ali Cherif,Station hydrologique,flow_m3s,SIM
f6dcb133-431d-426f-a77c-c63accf80da9,35,My Ali Cherif,Station hydrologique,precip_mm,ECMWF
0bd877a9-2291-4b12-b71a-bea858ccbb18,36,Oued ifrane,Station hydrologique,flow_m3s,SIM
0bd877a9-2291-4b12-b71a-bea858ccbb18,36,Oued ifrane,Station hydrologique,precip_mm,ECMWF
794ced18-7d9d-4777-9d98-cd9c36aa874e,62,POMPAGE EST 2,Poste Pluviométrique,precip_mm,ECMWF
fed14462-423c-426e-b9c1-5db56c8a18b6,39,Pont Ait Aissa,Station hydrologique,flow_m3s,SIM
fed14462-423c-426e-b9c1-5db56c8a18b6,39,Pont Ait Aissa,Station hydrologique,precip_mm,ECMWF
84171a00-33ab-4be6-becc-6400e2389267,42,Ratba,Station hydrologique,flow_m3s,SIM
84171a00-33ab-4be6-becc-6400e2389267,42,Ratba,Station hydrologique,precip_mm,ECMWF
b6a95f76-cd6d-4139-88a3-175051dd5f04,43,Route 26,Station hydrologique,flow_m3s,OBS
b6a95f76-cd6d-4139-88a3-175051dd5f04,43,Route 26,Station hydrologique,flow_m3s,SIM
b6a95f76-cd6d-4139-88a3-175051dd5f04,43,Route 26,Station hydrologique,precip_mm,ECMWF
fc19c630-a302-412a-892b-0c626e88489d,44,Souk El Had,Station hydrologique,flow_m3s,SIM
fc19c630-a302-412a-892b-0c626e88489d,44,Souk El Had,Station hydrologique,precip_mm,ECMWF
f2a2852e-82c2-44e7-9135-60ed6bf40b10,45,Tabouda,Station hydrologique,flow_m3s,SIM
f2a2852e-82c2-44e7-9135-60ed6bf40b10,45,Tabouda,Station hydrologique,precip_mm,ECMWF
00512de3-cb27-495d-9c51-210838e05196,53,Taghrout,Station hydrologique,flow_m3s,SIM
00512de3-cb27-495d-9c51-210838e05196,53,Taghrout,Station hydrologique,precip_mm,ECMWF
4e154cbc-ffe1-480e-a890-2083338dbdf9,46,Taghzout,Station hydrologique,flow_m3s,SIM
4e154cbc-ffe1-480e-a890-2083338dbdf9,46,Taghzout,Station hydrologique,precip_mm,ECMWF
b76ecd6f-fbd1-4e04-8745-b1f2ef14f0af,47,Tissa,Station hydrologique,flow_m3s,SIM
b76ecd6f-fbd1-4e04-8745-b1f2ef14f0af,47,Tissa,Station hydrologique,precip_mm,ECMWF
a98eba67-6039-483a-9d08-dedce2bb9b7a,48,Zrarda,Station hydrologique,flow_m3s,SIM
a98eba67-6039-483a-9d08-dedce2bb9b7a,48,Zrarda,Station hydrologique,precip_mm,ECMWF
